price,date,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated
29022.41839530417,2021-01-01,,,,,,,,,,,,,
29352.12679194895,2021-01-02,,,,,,,,,,,,,
32163.82493533521,2021-01-03,,,,,,,,,,,,,
33008.226203489285,2021-01-04,,,,,,,,,,,,,
31515.575966658354,2021-01-05,,,,,,,,,,,,,
34082.20604904424,2021-01-06,,,,,,,,,,,,,
36933.520137309126,2021-01-07,,,,,,,,,,,,,
39547.08408135567,2021-01-08,,,,,,,,,,,,,
40815.96185478254,2021-01-09,,,,,,,,,,,,,
40296.5290038294,2021-01-10,,,,,,,,,,,,,
38397.895985418174,2021-01-11,,,,,,,,,,,,,
35669.90668663349,2021-01-12,,,,,,,,,,,,,
33938.33587810088,2021-01-13,,,,,,,,,,,,,
37456.00772548642,2021-01-14,,,,,,,,,,,,,
39232.74997140346,2021-01-15,,,,,,,,,,,,,
36787.52121668496,2021-01-16,,,,,,,,,,,,,
36254.713079410845,2021-01-17,,,,,,,,,,,,,
35804.263885674685,2021-01-18,,,,,,,,,,,,,
36595.4647692826,2021-01-19,,,,,,,,,,,,,
36104.86385775514,2021-01-20,,,,,,,,,,,,,
35587.489202735545,2021-01-21,,,,,,,,,,,,,
30913.695736053804,2021-01-22,,,,,,,,,,,,,
32957.908782655926,2021-01-23,,,,,,,,,,,,,
32068.08737440817,2021-01-24,,,,,,,,,,,,,
32273.51735032927,2021-01-25,,,,,,,,,,,,,
32375.320062981456,2021-01-26,,,,,,,,,,,,,
32582.10944502123,2021-01-27,,,,,,,,,,,,,
30445.52586511351,2021-01-28,,,,,,,,,,,,,
33128.34752861149,2021-01-29,,,,,,,,,,,,,
34150.81876737221,2021-01-30,,,,,,,,,,,,,
34199.51981036302,2021-01-31,,,,,,,,,,,,,
33064.78676701507,2021-02-01,,,,,,,,,,,,,
33405.99035714327,2021-02-02,,,,,,,,,,,,,
35485.98593382442,2021-02-03,,,,,,,,,,,,,
37494.71762460426,2021-02-04,,,,,,,,,,,,,
36816.50808203406,2021-02-05,,,,,,,,,,,,,
38007.83222908396,2021-02-06,,,,,,,,,,,,,
39279.41286897885,2021-02-07,,,,,,,,,,,,,
38833.34026455532,2021-02-08,,,,,,,,,,,,,
46307.57412159395,2021-02-09,,,,,,,,,,,,,
46569.56483,2021-02-10,,,,,,,,,,,,,
44848.69344950499,2021-02-11,,,,,,,,,,,,,
47815.96175554316,2021-02-12,,,,,,,,,,,,,
47414.1862550079,2021-02-13,,,,,,,,,,,,,
46941.29208582354,2021-02-14,,,,,,,,,,,,,
48607.8745224845,2021-02-15,,,,,,,,,,,,,
47898.487027633135,2021-02-16,,,,,,,,,,,,,
49238.13690672487,2021-02-17,,,,,,,,,,,,,
52143.6788446198,2021-02-18,,,,,,,,,,,,,
51733.075539032034,2021-02-19,,,,,,,,,,,,,
56038.72775892988,2021-02-20,,,,,,,,,,,,,
56377.63347790987,2021-02-21,,,,,,,,,,,,,
57669.3035269179,2021-02-22,,,,,,,,,,,,,
54410.85629451601,2021-02-23,,,,,,,,,,,,,
48691.894831704405,2021-02-24,,,,,,,,,,,,,
49849.37871358314,2021-02-25,,,,,,,,,,,,,
46992.665450048495,2021-02-26,,,,,,,,,,,,,
46551.48747675472,2021-02-27,,,,,,,,,,,,,
46653.52639939581,2021-02-28,,,,,,,,,,,,,
44970.163459946736,2021-03-01,,,,,,,,,,,,,
49787.33995949672,2021-03-02,,,,,,,,,,,,,
48532.23678981703,2021-03-03,,,,,,,,,,,,,
50577.45746915202,2021-03-04,,,,,,,,,,,,,
48727.45120080115,2021-03-05,,,,,,,,,,,,,
49091.81488232977,2021-03-06,,,,,,,,,,,,,
49019.36859236582,2021-03-07,,,,,,,,,,,,,
51313.09262027362,2021-03-08,,,,,,,,,,,,,
52328.5359126325,2021-03-09,,,,,,,,,,,,,
54700.27343927744,2021-03-10,,,,,,,,,,,,,
56020.4877195857,2021-03-11,,,,,,,,,,,,,
